title,authors,doi,source,year,keywords
Towards deep learning enabled cybersecurity risk assessment for microservice architectures,Majid AbdulsatarHussain AhmadDiksha GoelFaheem Ullah,10.1007/s10586-024-05092-0,Cluster Computing,2025,
Cloud-Native Maturity Models,Dr. Mehdi Ghane,10.1007/979-8-8688-1258-3_3,Observability Engineering with Cilium,2025,
Investigations into Secure IaC Practices,Keerthi NeharikaRuth G. Lennon,10.1007/978-981-19-1610-6_25,Proceedings of Seventh International Congress on Information and Communication Technology,2023,
Design and Deploy Azure IoT Security,Puthiyavan UdayakumarDr. R Anandan,10.1007/979-8-8688-0908-8_4,Design and Deploy IoT Network & Security with Microsoft Azure,2024,
Generating Robot Framework Code with LLM Models: A RAG-Based Approach,Anıl SezginGürkan ÖzkanEsra Coşgun,10.1007/978-3-031-97992-7_65,Intelligent and Fuzzy Systems,2025,
Overview of Microservices,Sumit BhatnagarRoshan Mahant,10.1007/979-8-8688-1267-5_2,The Art of Decoding Microservices,2025,
Natural Gas Pipeline Security in Central Asia,András Molnár,10.1007/978-3-319-74336-3_584-1,The Palgrave Encyclopedia of Global Security Studies,2020,
Pipeline Design,Henry van Merode,10.1007/978-1-4842-9228-0_4,Continuous Integration (CI) and Continuous Delivery (CD),2023,
Designing for “-ilities”,Shivakumar R Goniwada,10.1007/978-1-4842-7226-8_9,Cloud Native Architecture and Design,2022,
Threats and Vulnerabilities in Web Applications and How to Avoid Them,Zlatko Čović,10.1007/978-3-031-47990-8_9,Critical Infrastructure Protection in the Light of the Armed Conflicts,2024,
Securing Microservices with Istio,Prashanth JosyulaKaranbir SinghAnupam Mehta,10.1007/979-8-8688-1573-7_5,Practical Istio,2025,
Process Changes,Chandra Rajasekharaiah,10.1007/978-1-4842-6564-2_5,Cloud-Based Microservices,2021,
A Proposal of a Supply Chain Security Model for Generative AI,Keun Young LeeJiyeon Yoo,10.1007/978-981-96-1624-4_25,Information Security Applications,2025,
Where Do Developers Admit their Security-Related Concerns?,Moritz MockThomas ForrerBarbara Russo,10.1007/978-3-031-72781-8_21,Agile Processes in Software Engineering and Extreme Programming – Workshops,2025,
Demystifying the Cloud-Native Computing Paradigm,Chellammal SurianarayananPethuru Raj Chelliah,10.1007/978-3-031-32044-6_12,Essentials of Cloud Computing,2023,
Build Automated Pipeline,Taras Gleb,10.1007/978-1-4842-7252-7_8,Systematic Cloud Migration,2021,
Introduction: Why Evolve from Infrastructure to Innovation with SAP on AWS?,Bidwan BaruahKrishnakumar RamadossAbarajith Vivekanandha,10.1007/979-8-8688-0890-6_1,Evolve from Infrastructure to Innovation with SAP on AWS,2024,
Securing Open Systems,Sachin RatheeAmol Chobe,10.1007/978-1-4842-8127-7_4,Getting Started with Open Source Technologies,2022,
Adaptive Cyber Defense,Partha PalMichael Atighetchi,10.1007/978-3-030-71522-9_1773,"Encyclopedia of Cryptography, Security and Privacy",2025,
Foundations of Microservices and APIs,Dileep Kumar PandiyaNilesh Charankar,10.1007/979-8-8688-1306-1_2,AI and Microservices,2025,
GitHub Enterprise Organization Management and Administration,Balu Nivrutti IlagAjayKumar P. BaljoshiGanesh J. SangaleYogesh Athave,10.1007/979-8-8688-0369-7_6,Mastering GitHub Enterprise Management and Administration,2024,
Understanding the Importance of Data/Application Security,Pushpa Herath,10.1007/978-1-4842-7860-4_1,Azure Cloud Security for Absolute Beginners,2022,
Natural Gas as a Means of Influence,Péter MartonKatarina Sárvári,10.1007/978-3-319-74319-6_640,The Palgrave Encyclopedia of Global Security Studies,2023,
GenAI Application Level Security,Ken HuangGrace HuangAdam DawsonDaniel Wu,10.1007/978-3-031-54252-7_7,Generative AI Security,2024,
Impact of Oil and Gas Exploration and Infrastructure in Niger Delta on the United Nations Sustainable Development Goals,Abdul L. Abraham Jatto,10.1007/978-3-031-56932-6_4,Oil and Gas Pipeline Infrastructure Insecurity,2024,
Trends for the DevOps Security. A Systematic Literature Review,Tiina LeppänenAnne HonkarantaAndrei Costin,10.1007/978-3-031-11510-3_12,Business Modeling and Software Design,2022,
"A Review on&#xa0;Interplay of&#xa0;AutoML and&#xa0;MLOps “AutoMLOps”: Current State, Challenges, and&#xa0;Future Scope",Kuldeep SinghAnurag GoswamiSonal Kukreja,10.1007/978-981-96-3247-3_9,Proceedings of Fourth International Conference on Computing and Communication Networks,2025,
Threat Analysis for Cloud-Native Deployments,Mohammed Ilyas Ahmed,10.1007/979-8-8688-0407-6_9,Cloud-Native DevOps,2024,
How to Adapt and Implement a Large-Scale Agile Framework in Your Organization,Sascha Block,10.1007/978-3-662-67782-7_4,Large-Scale Agile Frameworks,2023,
Microservices Architecture and Design,Shivakumar R Goniwada,10.1007/978-1-4842-7226-8_5,Cloud Native Architecture and Design,2022,
Security-centric node identification in complex networks,Lanying LiuNing DuDuyong Sheng,10.1038/s41598-025-00360-4,Scientific Reports,2025,
Localization of underground pipeline intrusion sources using cross-correlation CNN: application in pile-driving model test,Fu ChaiBiao ZhouXiongyao XieZixin ZhangJianyong Han,10.1007/s43503-024-00037-3,AI in Civil Engineering,2024,
Network Policy Enforcement in&#xa0;Cloud-Native Environments,Pedro R. TomasSofia SilvaMarco NetoJorge ProençaLuis RosaLuis CordeiroTarik TalebTiago Cruz,10.1007/978-3-031-97317-8_15,Artificial Intelligence Applications and Innovations. AIAI 2025 IFIP WG 12.5 International Workshops,2025,
Prediction of Remaining Life of City Gas Pipelines Based on Decision Tree Classification Algorithm,Yang ZhaoXiaoxu  ChenTao  YanMeili Liu,10.1007/978-981-97-4121-2_13,"Proceedings of Innovative Computing 2024, Vol. 3",2024,
"Data pipeline approaches in serverless computing: a taxonomy, review, and research trends",Zahra Shojaee RadMostafa Ghobaei-Arani,10.1186/s40537-024-00939-0,Journal of Big Data,2024,
Introduction: Dimensions of Cloud Security,Sagar Lad,10.1007/978-1-4842-8936-5_1,Azure Security For Critical Workloads,2023,
ICITPM: Integrity Validation of Software in Iterative Continuous Integration Through the Use of Trusted Platform Module (TPM),Antonio MuñozAristeidis FaraoJordy Ryan Casas CorreiaChristos Xenakis,10.1007/978-3-030-66504-3_9,Computer Security,2020,
Product Development: A Synergy of Teams and Techniques,Gaurav SagarVitalii Syrovatskyi,10.1007/978-1-4842-8658-6_1,Technical Building Blocks,2022,
Ctam: A Tool for Continuous Threat Analysis and Management,Laurens SionDimitri Van LanduytKoen YskoutStef VerreydtWouter Joosen,10.1007/978-3-031-42212-6_7,CyberSecurity in a DevOps Environment,2024,
A Systematic Review on Game-Theoretic Models and Different Types of Security Requirements in Cloud Environment: Challenges and Opportunities,Komal Singh GillAnju SharmaSharad Saxena,10.1007/s11831-024-10095-6,Archives of Computational Methods in Engineering,2024,
Operate and Monitor,Henry van Merode,10.1007/978-1-4842-9228-0_8,Continuous Integration (CI) and Continuous Delivery (CD),2023,
Best Practices in Kubernetes,Grzegorz StencelLuca Berton,10.1007/979-8-8688-1325-2_13,Kubernetes Recipes,2025,
Adaptive Cyber Defense,Partha PalMichael Atighetchi,10.1007/978-3-642-27739-9_1773-1,"Encyclopedia of Cryptography, Security and Privacy",2023,
Decentralized Finance: Exploring the Dynamics of Blockchain in Peer-to-Peer Lending Platform,Rohini PiseSonali Patil,10.1007/978-981-96-5848-0_51,Proceedings of the International Conference on Smart Cities - Volume 2,2025,
IoT Product Team,Venkatesh Upadrista,10.1007/978-1-4842-7271-8_13,IoT Standards with Blockchain,2021,
Integration of Security Standards in DevOps Pipelines: An Industry Case Study,Fabiola MoyónRafael SoaresMaria Pinto-AlbuquerqueDaniel MendezKristian Beckers,10.1007/978-3-030-64148-1_27,Product-Focused Software Process Improvement,2020,
Examining the&#xa0;Privacy and&#xa0;Security of&#xa0;Mobile Refugee Applications,Marc ZirilloShannon AvizaMarlon CruzHalie LeeGrace LaMalvaAmanda GalvezDenise DragosSuzanna Schmeelk,10.1007/978-3-031-62273-1_26,Intelligent Computing,2024,
Virtualizing Network Functions in Cloud and Telecom Core Networks,Anil Kumar Rangisetti,10.1007/979-8-8688-0497-7_4,Future Networking Essentials,2024,
Challenges and Considerations,Dileep Kumar PandiyaNilesh Charankar,10.1007/979-8-8688-1306-1_10,AI and Microservices,2025,
"Transition, Runbook and Disaster Recovery",Taras Gleb,10.1007/978-1-4842-7252-7_9,Systematic Cloud Migration,2021,
DevSecOps for .NET Core,Afzaal Ahmad Zeeshan,10.1007/978-1-4842-5850-7,,2020,
Research on multi-dimensional reconstruction mechanism of cloud native full link in the metaverse scenario,Shuo Sheng,10.1038/s41598-023-48724-y,Scientific Reports,2023,
Cyber Security Awareness Requirements for Operational Technology Systems,Tim EllisDavid BalensonMichael Locasto,10.1007/978-3-030-93511-5_2,Critical Infrastructure Protection XV,2022,
Liquefied Natural Gas (LNG),Yuanyuan Chen,10.1007/978-3-319-74319-6_509,The Palgrave Encyclopedia of Global Security Studies,2023,
A Review of Pilotless Vehicles,Boris ShishkovGabriela Garvanova,10.1007/978-3-031-49263-1_11,Telecommunications and Remote Sensing,2023,
Defining a Secure Software Process,Susan Lincke,10.1007/978-3-031-43118-0_22,Information Security Planning,2024,
R-MDP: A Game Theory Approach for&#xa0;Fault-Tolerant Data and&#xa0;Service Management in&#xa0;Crude Oil Pipelines Monitoring Systems,Safuriyawu AhmedFrédéric Le MouëlNicolas StoulsJilles S. Dibangoye,10.1007/978-3-031-34776-4_3,"Mobile and Ubiquitous Systems: Computing, Networking and Services",2023,
Centrifuge tests on the deformation law of pipelines crossing slopes with different water contents,Haidong JiaMing YangLianshuang DaiYongbing QueDongyuan WangZhifeng YuYu ZhaoWenjun HuJunkai XuJunfeng Tang,10.1038/s41598-024-70372-z,Scientific Reports,2024,
Energy Security (Dilemmas),Martin Scott Catino,10.1007/978-3-319-74319-6_498,The Palgrave Encyclopedia of Global Security Studies,2023,
Performance Observability in Kubernetes,Grzegorz StencelLuca Berton,10.1007/979-8-8688-1325-2_9,Kubernetes Recipes,2025,
AI Techniques for Signal Processing in Optical Fiber Sensors,Jyoti Katyal,10.1007/978-981-96-6158-9_4,Optical Fiber Sensors and AI,2025,
Cloud Security Responsibilities and the AWS Security Ecosystem,Syed Rehan,10.1007/979-8-8688-1554-6_2,Cybersecurity with AWS,2025,
"The DAWN Framework: Integrating SDN, NFV, and Machine Learning for Enhanced DDoS Resistance",Aisha LalliAspen OlmstedArti Tripathi,10.1007/978-981-97-8074-7_17,Artificial Intelligence and Applications,2025,
Applying a&#xa0;Prompt Pattern Sequence for&#xa0;Decision-Making in&#xa0;Microservices Architectures,João José Maranhão JuniorJorge MelegatiEduardo Guerra,10.1007/978-3-031-84617-5_2,Service-Oriented and Cloud Computing,2025,
iALBMAD: an improved agile-based layered approach for mobile app development,Anil PatidarUgrasen Suman,10.1007/s10515-025-00520-w,Automated Software Engineering,2025,
Towards 6G-Enabled Edge-Cloud Continuum Computing – Initial Assessment,Jaydip KumarJitendra K SamriyaMarek BolanowskiAndrzej PaszkiewiczWiesław PawłowskiMaria GanzhaKatarzyna Wasielewska-MichniewskaBartłomiej Solarz-NiesłuchowskiMarcin PaprzyckiIgnacio Lacalle ÚbedaCarlos E. Palau,10.1007/978-3-031-25088-0_1,Advanced Communication and Intelligent Systems,2023,
Cloud Security,Dr. Jason Edwards,10.1007/979-8-8688-0297-3_8,Mastering Cybersecurity,2024,
Discussion and Conclusion,Abdul L. Abraham Jatto,10.1007/978-3-031-56932-6_8,Oil and Gas Pipeline Infrastructure Insecurity,2024,
Navigating the GenAI Security Landscape,Ken HuangJyoti PonnapalliJeff TantsuraKevin T. Shin,10.1007/978-3-031-54252-7_2,Generative AI Security,2024,
Enhancing Microservice Security Through Middleware Architecture: A Machine Learning Approach,Yong Deng,10.1007/978-981-96-6462-7_26,Information Processing and Network Provisioning,2025,
Engineering Applications in Typical Fields of ESS Empowerment,Jiangxing Wu,10.1007/978-981-97-0116-2_7,Cyber Resilience System Engineering Empowered by Endogenous Security and Safety,2024,
Failure Analysis of the Leakage and Ignition of an Oil–Gas Mixture Transportation Pipeline,C. L. SongX. B. LiuX. PanQ. G. ChenP. WangY. Fang,10.1007/s11668-021-01279-4,Journal of Failure Analysis and Prevention,2021,
From “Free” to “Open Source” to Products,Gordon Haff,10.1007/978-1-4842-6800-1_2,How Open Source Ate Software,2021,
Extending Istio with Custom Plugins,Prashanth JosyulaKaranbir SinghAnupam Mehta,10.1007/979-8-8688-1573-7_9,Practical Istio,2025,
Hyperledger Fabric-Powered Network Slicing Handover Authentication,Igugu Tshisekedi EtienneMuhammad FirdausCho Nwe Zin LattSiwan NohKyung-Hyune Rhee,10.1007/s10796-024-10564-0,Information Systems Frontiers,2024,
Secure File Transfer Management: Leveraging Special Group ID for User-To-User Communication in Linux,R. LokeshwariM. Naveen KumarK. S. Jasmine,10.1007/978-981-96-4679-1_32,Advances in Communication and Applications,2025,
"A&#xa0;survey of cybersecurity laws, regulations, and policies in technologically advanced nations: a&#xa0;case study of Pakistan to bridge the gap",Bilal SaleemMusferah AhmedMaila ZahraFarhan HassanMuhammad Asif IqbalZia Muhammad,10.1365/s43439-024-00128-y,International Cybersecurity Law Review,2024,
A hierarchical model for quantifying software security based on static analysis alerts and software metrics,Miltiadis SiavvasDionysios KehagiasDimitrios TzovarasErol Gelenbe,10.1007/s11219-021-09555-0,Software Quality Journal,2021,
Organizing and Managing the Development Process,Bert de Brock,10.1007/978-3-031-16862-8_7,Developing Information Systems Accurately,2023,
The Effect of Oil and Gas Activities on Pipeline Vandalism: The Perspectives of Professional Operators,Abdul L. Abraham Jatto,10.1007/978-3-031-56932-6_6,Oil and Gas Pipeline Infrastructure Insecurity,2024,
Research on Automated Management Method for Full Cycle of Operating System Mirrors Based on Multi Objective Optimization,Xiang LuYang SuXuan Yu,10.1007/978-981-96-8007-8_10,"Innovative Computing 2025, Volume 3",2025,
Reduce Cyber Security Vulnerabilities: IaaS and Data,Marshall CopelandMatthew Jacobs,10.1007/978-1-4842-6531-4_3,Cyber Security on Azure,2021,
Introduction to Agile and DevOps,Navin SabharwalRaminder RathoreUdita Agrawal,10.1007/978-1-4842-7505-4_3,Hands-On Guide to AgileOps,2022,
Simplify and Rationalize IT and Security,Dan Blum,10.1007/978-1-4842-5952-8_7,Rational Cybersecurity for Business,2020,
Cloud Migration Fundamentals,Taras Gleb,10.1007/978-1-4842-7252-7_2,Systematic Cloud Migration,2021,
A-ESA Modeling Styles,Sean (Chunhong) Gu,10.1007/979-8-8688-0992-7_5,Mastering Enterprise Solution Modeling,2024,
The Writing on the Wall: The Demise of Said bin Taymur,Tancred Bradshaw,10.1007/978-3-031-75472-2_9,"Britain and Oman, c. 1945–1980",2025,
Secure and Sustainable Software Engineering Framework and Best Practices for Blockchain Applications,Muthu Ramachandran,10.1007/978-981-96-4360-8_8,Blockchain Engineering,2025,
API Governance,Brajesh De,10.1007/979-8-8688-0054-2_12,API Management,2023,
The GRaViTY Framework,Sven Matthias Peldszus,10.1007/978-3-658-37665-9_14,Security Compliance in Model-driven Development of Software Systems in Presence of Long-Term Evolution and Variants,2022,
Security Threats and Defensive Approaches in Machine Learning System Under Big Data Environment,Chen HongsongZhang YongpengCao YongruiBharat Bhargava,10.1007/s11277-021-08284-8,Wireless Personal Communications,2021,
Multisensor data fusion-based structural health monitoring for buried metallic pipelines under complicated stress states,Minghao LiXin Feng,10.1007/s13349-022-00609-w,Journal of Civil Structural Health Monitoring,2022,
Research on Integrated Solution of Mobile Application Development and Operation in Electric Power Enterprise,Jia-xin WangXiao-guang HuangBo HuYing Li,10.1007/978-3-030-70665-4_45,"Advances in Natural Computation, Fuzzy Systems and Knowledge Discovery",2021,
Securing Build Systems for DevOps,Afzaal Ahmad Zeeshan,10.1007/978-1-4842-5850-7_5,DevSecOps for .NET Core,2020,
The Anatomy of Supply Chain Applications,Aamiruddin Syed,10.1007/979-8-8688-0799-2_3,Supply Chain Software Security,2024,
Scale,Caroline LewkoJames Parton,10.1007/978-1-4842-7164-3_21,Developer Relations,2021,
AI Infrastructure,Dhiman Deb Chowdhury,10.1007/978-3-031-71440-5_8,Future of Networks,2025,
Introduction,Abdul L. Abraham Jatto,10.1007/978-3-031-56932-6_1,Oil and Gas Pipeline Infrastructure Insecurity,2024,
Predictive digital twin driven trust model for cloud service providers with Fuzzy inferred trust score calculation,Jomina JohnJohn Singh K,10.1186/s13677-024-00694-w,Journal of Cloud Computing,2024,
A Novel Approach for Semantic Microservices Description and Discovery Toward Smarter Applications,Chellammal SurianarayananGopinath GanapathyPethuru Raj Chelliah,10.1007/978-981-16-9650-3_7,Machine Intelligence and Smart Systems,2022,
Understanding security tactics in microservice APIs using annotated software architecture decomposition models – a controlled experiment,Patric GenferSouhaila SerboutGeorg SimhandlUwe ZdunCesare Pautasso,10.1007/s10664-024-10601-1,Empirical Software Engineering,2025,
What Is Azure Arc?,Ramona Maxwell,10.1007/978-1-4842-9480-2_2,Azure Arc Systems Management,2024,
Corrosion inhibition performance of synergistic inhibitors on Q235 steel in methanol/formic acid medium,Jia WangJinyan LiuQian LiuYao Chong,10.1007/s10853-022-07629-3,Journal of Materials Science,2022,
Visualization of&#xa0;Software Development Provenance,Andreas SchreiberLynn von KurnatowskiAnnika MeineckeClaas de Boer,10.1007/978-3-031-60114-9_10,Human Interface and the Management of Information,2024,
Overview of Benefits of Arc in the Enterprise,Ramona Maxwell,10.1007/978-1-4842-9480-2_3,Azure Arc Systems Management,2024,
Prioritizing refactorings for security-critical code,Chaima AbidVahid AlizadehMarouane KessentiniMouna DhaouadiRick Kazman,10.1007/s10515-021-00281-2,Automated Software Engineering,2021,
Static Security Compliance Checks,Sven Matthias Peldszus,10.1007/978-3-658-37665-9_8,Security Compliance in Model-driven Development of Software Systems in Presence of Long-Term Evolution and Variants,2022,
The Mexican Context,Samuel León Sáez,10.1007/978-3-031-70503-8_3,Mexico's Fuel Trafficking Phenomenon,2025,
Edge computing,Jorge PérezJessica DíazJavier BerrocalRamón López-VianaÁngel González-Prieto,10.1007/s00607-022-01104-2,Computing,2022,
Modern Software Engineering,Afzaal Ahmad Zeeshan,10.1007/978-1-4842-5850-7_1,DevSecOps for .NET Core,2020,
Planning and Preparing for AVD,Puthiyavan Udayakumar,10.1007/978-1-4842-7796-6_2,Design and Deploy Microsoft Azure Virtual Desktop,2022,
Implementing Comprehensive Security in Your Software Supply Chain,Aamiruddin Syed,10.1007/979-8-8688-0799-2_9,Supply Chain Software Security,2024,
Introduction to IaC and Terraform,Ivy Wang,10.1007/979-8-8688-1010-7_1,Terraform Made Easy,2024,
The Challenges of Enterprise-Scale Hybrid and Multi-cloud Architectures,Ramona Maxwell,10.1007/978-1-4842-9480-2_1,Azure Arc Systems Management,2024,
Optimizing test case prioritization through ranked NSGA-2 for enhanced fault sensitivity analysis,Kamal GargShashi Shekhar,10.1007/s11334-024-00561-6,Innovations in Systems and Software Engineering,2024,
DevOps with Security,Afzaal Ahmad Zeeshan,10.1007/978-1-4842-5850-7_2,DevSecOps for .NET Core,2020,
"Software Product System Model: A Customer-Value Oriented, Adaptable, DevOps-Based Product Model",Haluk AltunelBilge Say,10.1007/s42979-021-00899-9,SN Computer Science,2021,
On the Empirical Validation of a Zero Trust Security Framework via Group Support System Research,Yuri Bobbert,10.1007/978-3-031-18458-1_24,"Proceedings of the Future Technologies Conference (FTC) 2022, Volume 2",2023,
The Eastern Mediterranean Disputes in the RoC’s Foreign Policy: A Socio-Psychological Account,Emine Eminel Sülün,10.1007/978-3-030-91177-5_8,The Foreign Policy of the Republic of Cyprus,2022,
Natural Gas as a Means of Influence,Péter MartonKatarina Sárvári,10.1007/978-3-319-74336-3_640-1,The Palgrave Encyclopedia of Global Security Studies,2020,
A systematic review on blockchain-based access control systems in cloud environment,Aarti PuniaPreeti GuliaNasib Singh GillEbuka IbekeCelestine IwendiPiyush Kumar Shukla,10.1186/s13677-024-00697-7,Journal of Cloud Computing,2024,
Guide 10: Debugging and Troubleshooting TYPO3,Felicity BrandHeather McNameeJeffrey A. McGuire,10.1007/978-1-4842-6525-3_14,The TYPO3 Guidebook,2021,
Data Preprocessing Technology in Pipeline Health Monitoring,Hongfang LuZhao-Dong XuTom IseleyHaoyan PengLingdi Fu,10.1007/978-981-19-6798-6_5,Pipeline Inspection and Health Monitoring Technology,2023,
Requirements Engineering for Blockchain Applications in Healthcare,Muthu Ramachandran,10.1007/978-981-96-4360-8_9,Blockchain Engineering,2025,
Cloud Empowered Real-Time Virtual Manufacturing Systems,Sourabh DaniAkhlaqur RahmanJiong JinAmbarish Kulkarni,10.1007/978-981-4585-87-3_46-1,Handbook of Real-Time Computing,2022,
The NetSage measurement and analysis framework in practice,Jennifer M. SchopfKatrina TurnerDan DoyleAndrew LakeJason LeighBrian L. Tierney,10.1007/s10586-021-03417-x,Cluster Computing,2021,
Cloud Empowered Real-Time Virtual 3 Manufacturing Systems,Sourabh DaniAkhlaqur RahmanJiong JinAmbarish Kulkarni,10.1007/978-981-287-251-7_46,Handbook of Real-Time Computing,2022,
Disaster reduction stick equipment: A method for monitoring and early warning of pipeline-landslide hazards,Yan YanDa-shen YangDong-xian GengSheng HuZi-ang WangWang HuShu-yao Yin,10.1007/s11629-019-5613-6,Journal of Mountain Science,2019,
"Architectural views for social robots in public spaces: business, system, and security strategies",Samson OrumaRicardo Colomo-PalaciosVasileios Gkioulos,10.1007/s10207-024-00924-x,International Journal of Information Security,2024,
Performance Monitoring and Debugging,Sivaraj Selvaraj,10.1007/978-1-4842-9789-6_12,Building Real-Time Marvels with Laravel,2024,
General Principles,Frank J. Furrer,10.1007/978-3-658-37182-1_9,Safety and Security of Cyber-Physical Systems,2022,
The Importance of Pipeline Transportation,Sina RazvarzRaheleh JafariAlexander Gegov,10.1007/978-3-030-59246-2_1,Flow Modelling and Control in Pipeline Systems,2021,
"Performance, portability, productivity, and security in HPC cloud: a systematic literature review",Mandeep KumarGagandeep KaurPrashant Singh Rana,10.1007/s11227-025-07685-x,The Journal of Supercomputing,2025,
Analytical solution for upheaval buckling of shallow buried pipelines in inclined cohesionless soil,Bo HuangJing-wen LiuJi-ying FanDao-sheng Ling,10.1631/jzus.A2000275,Journal of Zhejiang University-SCIENCE A,2021,
A risk and conformity assessment framework to ensure security and resilience of healthcare systems and medical supply chain,Kitty KioskliElisavet GrigoriouShareeful IslamAndrianos M. YiorkasLoizos ChristofiHaralambos Mouratidis,10.1007/s10207-025-01009-z,International Journal of Information Security,2025,
Microsoft Azure and Cloud Computing,Julian SohMarshall CopelandAnthony PucaMicheleen Harris,10.1007/978-1-4842-5958-0_1,Microsoft Azure,2020,
The Changing Landscape of Oil Insurgency,Obasesam Okoi,10.1007/978-3-030-86327-2_5,Punctuated Peace in Nigeria’s Oil Region,2021,
Measuring sustainable development of intelligent tourism service system: analysis on the user’s intention,Yao Zhao,10.1007/s11356-023-25868-y,Environmental Science and Pollution Research,2023,
Specializations in Software Engineering Education,Anthony I. (Tony) Wasserman,10.1007/978-3-031-48639-5_1,Frontiers in Software Engineering Education,2023,
Using Clean Architecture Principles to Improve the Design and Implementation of the Mobiles Online Platform,T. RachovskiS. HadzhikolevaE. HadzhikolevA. Lengerov,10.1007/978-981-16-7657-4_2,Proceedings of Second International Conference on Sustainable Expert Systems,2022,
Building an OWL Ontology Step By Step for Lean-Based Software Development,Sandra Gutierrez-RiosJosé Manuel Gómez PulidoMiguel Vargas-Lombardo,10.1007/978-3-030-71503-8_46,Applied Technologies,2021,
Cost Optimization in MLOps,Neel SendasDeepali Rajale,10.1007/979-8-8688-1076-3_7,The Definitive Guide to Machine Learning Operations in AWS,2024,
Additional Workload Architectural Considerations,Jeremy Lloyd,10.1007/978-1-4842-8820-7_27,Infrastructure Leader’s Guide to Google Cloud,2023,
SmartTrust: a hybrid deep learning framework for real-time threat detection in cloud environments using Zero-Trust Architecture,Umesh Kumar LilhoreSarita SimaiyaRoobaea AlroobaeaAbdullah M. BaqasahMajed AlsafyaniAfnan AlhazmiMd Monish Khan,10.1186/s13677-025-00764-7,Journal of Cloud Computing,2025,
Technological Catalysts in Innovation&#xa0;Strategy Implementation,Philipp FutterknechtTobias Hertfelder,10.1007/978-3-658-41601-0_6,"Data, Disruption & Digital Leadership",2023,
"The Politics of Water Rights: Scarcity, Sovereignty and Security",Avi BrismanBill McClanahanNigel SouthReece Walters,10.1007/978-3-030-44798-4_2,"Water, Governance, and Crime Issues",2020,
The Integration of Compliance with Protective Security (PS),Jim Seaman,10.1007/978-1-4842-6908-4_4,Protective Security,2021,
Innovative Application of Big Data Technology in Southwest Pipeline Information System,Heng-Bin WangDong-Chao LiuYan Meng,10.1007/978-981-13-7127-1_60,Proceedings of the International Field Exploration and Development Conference 2018,2020,
"Designing, Planning, and Prototyping a Google Cloud Network",Dario Cabianca,10.1007/978-1-4842-9354-6_2,Google Cloud Platform (GCP) Professional Cloud Network Engineer Certification Companion,2023,
