title,authors,doi,source,year,keywords,database_source
FPGA implementation of Data Encryption Standard using time variable permutations,"Oukili, Soufiane and Bri, Seddik",10.1109/ICM.2015.7438004,2015 27th International Conference on Microelectronics (ICM),2015,Encryption;Field programmable gate arrays;Standards;Clocks;Algorithm design and analysis;Pipeline processing;Data Encryption Standard (DES) Algorithm;Field Programmable Gate Arrays (FPGA) implementation;Pipelining;time variable permutations;security,ieee
Flexible ingest framework: A scalable architecture for dynamic routing through composable pipelines,"Samoylov, Alexei and Schlachter, Jason",10.1109/BigData.2015.7364097,2015 IEEE International Conference on Big Data (Big Data),2015,Pipelines;Big data;Sparks;Receivers;Computer architecture;Routing;Reflection;spark;architecture;flexible;scalable;dynamic;data ingest;data processing;data cleaning,ieee
Security and Energy Supply Valleys Assessment of Regional Integrated Energy System Based on Practical Security Region,"Liu, Kaicheng and Chen, Hongyin and Li, Siyuan and Wang, Dan and He, Guixiong and Zheng, Huiping and Liu, Xinyuan and Zhang, Ying",10.1109/EI252483.2021.9712964,2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2),2021,Visualization;Sensitivity analysis;Conferences;System integration;Internet;Security;Indexes;regional integrated energy system;security region;security valley;energy supply valley;valley assessment,ieee
Self-Service Cybersecurity Monitoring as Enabler for DevSecOps,"Díaz, Jessica and Pérez, Jorge E. and Lopez-Peña, Miguel A. and Mena, Gabriel A. and Yagüe, Agustín",10.1109/ACCESS.2019.2930000,,2019,Monitoring;Internet of Things;Cloud computing;Software;Computer security;Edge computing;Cybersecurity;DevSecOps;monitoring as code;self-service monitoring,ieee
Integrated SCADA-based approach for pipeline security and operation,"Geiger, Gerhard and Hazel, Terence and Vogt, Daniel",10.1109/PCIC.2010.5666821,2010 Record of Conference Papers Industry Applications Society 57th Annual Petroleum and Chemical Industry Conference (PCIC),2010,Pipelines;Temperature measurement;Leak detection;SCADA systems;Land surface temperature;Transient analysis;Security;pipeline;SCADA;Leak Detection;Leak Location;Security;CCTV,ieee
A fast cryptography pipelined hardware developed in FPGA with VHDL,"Gomes, Otávio S. M. and Moreno, Robson L. and Pimenta, Tales C.",,2011 3rd International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),2011,Encryption;Field programmable gate arrays;Hardware;Algorithm design and analysis;Pipeline processing;Computer architecture;Cryptography;AES;DES;FPGA;efficient encryption/decryption implementation;pipeline;security;communications,ieee
Fracture Control and Security Boundary Determination for Pipelines under HVDC Grounding Electrode Discharge Interference,"Liu, Qingsong and Hu, Shangmao and Chen, Wei and Liu, Gang and Deng, Jun and Cai, Hansheng",10.1109/ICHVE53725.2022.10014446,2022 IEEE International Conference on High Voltage Engineering and Applications (ICHVE),2022,Electrodes;Electric potential;Grounding;HVDC transmission;Hydrogen;Pipelines;Interference;HVDC;interference;ground electrode;pipeline;security boundary,ieee
An efficient and customized pipelined cryptography hardware,"Gomes, Otávio S. M. and Moreno, Robson L. and Pimenta, Tales C.",,2011 3rd International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),2011,Encryption;Field programmable gate arrays;Hardware;Algorithm design and analysis;Pipeline processing;Computer architecture;Cryptography;AES;DES;FPGA;efficient encryption/decryption implementation;pipeline;security;communications,ieee
,"Agarwal, Gaurav",,"Modern DevOps Practices: Implement and secure DevOps in the public cloud with cutting-edge tools, tips, tricks, and techniques",2021,,ieee
Secure and Robust Machine Learning for Healthcare: A Survey,"Qayyum, Adnan and Qadir, Junaid and Bilal, Muhammad and Al-Fuqaha, Ala",10.1109/RBME.2020.3013489,,2021,Robustness;Adversarial machine learning;Medical services;Machine learning;Privacy;Adversarial ML;healthcare;privacy preserving ML;robust ML;secure ML,ieee
The Adversarial Machine Learning Conundrum: Can the Insecurity of ML Become the Achilles' Heel of Cognitive Networks?,"Usama, Muhammad and Qadir, Junaid and Al-Fuqaha, Ala and Hamdi, Mounir",10.1109/MNET.001.1900197,,2020,Security;Task analysis;Telemetry;Data models;Perturbation methods;Training,ieee
A Multiple-Criteria Decision Making method as support for critical infrastructure protection and Intrusion Detection System,"Bernieri, Giuseppe and Damiani, Stefano and Del Moro, Fabio and Faramondi, Luca and Pascucci, Federica and Tambone, Francesco",10.1109/IECON.2016.7793111,IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society,2016,Analytic hierarchy process;Security;Decision support systems;SCADA systems;Indexes;Risk management,ieee
DASP: A Framework for Driving the Adoption of Software Security Practices,"Larios-Vargas, Enrique and Elazhary, Omar and Yousefi, Soroush and Lowlind, Derek and Vliek, Michael L. W. and Storey, Margaret-Anne",10.1109/TSE.2023.3235684,,2023,Security;Behavioral sciences;Software;Organizations;Psychology;Guidelines;Context modeling;Behavior change;developer-centric security;software security;software security practices,ieee
Research Report: The Parsley Data Format Definition Language,"Mundkur, Prashanth and Briesemeister, Linda and Shankar, Natarajan and Anantharaman, Prashant and Ali, Sameed and Lucas, Zephyr and Smith, Sean",10.1109/SPW50608.2020.00064,2020 IEEE Security and Privacy Workshops (SPW),2020,Computer languages;Ground penetrating radar;Geophysical measurement techniques;Transforms;Grammar;Security;Standards,ieee
How Are Industrial Control Systems Insecure by Design? A Deeper Insight Into Real-World Programmable Logic Controllers,"Ayub, Adeen and Jo, Wooyeon and Qasim, Syed Ali and Ahmed, Irfan",10.1109/MSEC.2023.3271273,,2023,Passwords;Authentication;Protocols;Process control;Integrated circuits;Encryption;Security;Programmable logic devices;Real-time systems;Design methodology;Critical infrastructure;Industrial control,ieee
MASK: Practical Source and Path Verification Based on Multi-AS-Key,"Fu, Songtao and Li, Qi and Zhu, Min and Wang, Xiaoliang and Yao, Su and Guo, Yangfei and Du, Xinle and Xu, Ke",10.1109/TNET.2022.3222610,,2023,Switches;Internet;Probabilistic logic;Electronic mail;Synchronization;IEEE transactions;Resists;Path-aware networking;data plane;source and path verification,ieee
EAGLEEYE: Attention to Unveil Malicious Event Sequences From Provenance Graphs,"Gysel, Philipp and Wüest, Candid and Nwafor, Kenneth and Jašek, Otakar and Ustyuzhanin, Andrey and Divakaran, Dinil Mon",10.1109/eCrime66200.2024.00009,2024 APWG Symposium on Electronic Crime Research (eCrime),2024,Adaptation models;Attention mechanisms;Source coding;Large language models;Transformers;Feature extraction;Malware;Data models;Security;Computer crime;Malware;Provenance graph;Transformer,ieee
Wattsworth: An Open-Source Platform for Decentralized Sensor Networks,"Donnal, John S.",10.1109/JIOT.2019.2946853,,2020,Pipelines;Internet of Things;Hardware;Robot sensing systems;Cloud computing;Servers;Computer architecture;Distributed information systems;edge computing;Internet of Things (IoT);open source software;sensor systems,ieee
Towards a new generation of industrial firewalls: Operational-process aware filtering,"Hachana, Safaà and Cuppens, Frédéric and Cuppens-Boulahia, Nora",10.1109/PST.2016.7906996,"2016 14th Annual Conference on Privacy, Security and Trust (PST)",2016,Protocols;Sensors;Context modeling;Access control;SCADA systems;Belts,ieee
Sparse Polynomial Multiplication-Based High-Performance Hardware Implementation for CRYSTALS-Dilithium,"Zhao, Hang and Zhao, Cankun and Zhu, Wenping and Yang, Bohan and Wei, Shaojun and Liu, Leibo",10.1109/HOST55342.2024.10545379,2024 IEEE International Symposium on Hardware Oriented Security and Trust (HOST),2024,Processor scheduling;Computer architecture;Standardization;Hardware;Polynomials;Real-time systems;Complexity theory;CRYSTALS-Dilithium;Post-Quantum Cryptography;Digital Signature;High-Speed;Sparse Polynomial Multiplication;FPGA,ieee
A Secure Software Development Methodology for Enterprise Business Applications,"Joshi, Hrishikesh",10.1109/ICoDSE63307.2024.10829891,2024 IEEE International Conference on Data and Software Engineering (ICoDSE),2024,Productivity;Measurement;Industries;Computer aided software engineering;Computer architecture;Organizations;Software;Security;Risk management;Software development management;Enterprise Architecture;Software Security;Software Development;Adaptive Risk Management;Security Culture;Software Engineering;Business Applications,ieee
A Security Compliance-by-Design Framework Utilizing Reusable Formal Models,"Rouland, Quentin and Gjorcheski, Stojanche and Jaskolka, Jason",10.1109/QRS-C60940.2023.00054,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",2023,Analytical models;Standards organizations;SCADA systems;Computer architecture;Regulation;System software;Security;Engineering secure systems;Software architecture;Compliance;Formal methods;Metamodel;Reuse,ieee
Analysis of the Comprehensive Evaluation Index of the Operation Point in the Interval Security Region Considering the Uncertainty of Renewable Energy,"Liu, Hao and Wang, Dan and Zhang, Ziyang and Xu, Xiangming and Wang, Manshang and Cao, Yitao and Zhou, Tianshuo and Fan, MengHua",10.1109/CEEGE58447.2023.10246709,2023 6th International Conference on Electrical Engineering and Green Energy (CEEGE),2023,Renewable energy sources;Uncertainty;Green products;Optimal control;Market research;Safety;Planning;Regional integrated energy system;Renewable energy sources;Interval security region;Comprehensive evaluation index,ieee
Distributed $H_\infty$ Secure Fusion Estimation for Energy-Constrained Multi-Sensor Systems Under Hybrid Attacks,"Song, Haiyu and Chen, Linyi and Chen, Bo and Zhang, Wen-An and Yu, Li",10.1109/TSIPN.2025.3594164,,2025,Estimation;Security;Noise;Information processing;State estimation;Stochastic processes;Estimation error;Power system stability;Energy consumption;Costs;Secure fusion estimation;multi-sensor systems;energy constraints;hybrid attacks,ieee
Anonymous Cluster-Based Source Location Protection in Underwater Pipeline Monitoring Operations,"Han, Guangjie and Gong, Aini and Wang, Hao and Lin, Chuan and García, Miguel Martínez and Peng, Yan",10.1109/TVT.2021.3124492,,2021,Pipelines;Autonomous underwater vehicles;Privacy;Security;Wireless sensor networks;Source location protection;submarine pipeline security;underwater acoustic sensor networks;anonymous cluster;disguised AUV,ieee
Continuous security patch delivery and risk management for medical devices,"Stockhausen, Hans-Martin von and Rose, Marc",10.1109/ICSA-C50368.2020.00043,2020 IEEE International Conference on Software Architecture Companion (ICSA-C),2020,Software;Organizations;Biomedical imaging;Computer security;Performance evaluation;Standards organizations;cybersecurity;security development lifecycle;vulnerability;vulnerability handling;product-specific risk management;continuous security patch delivery;medical device;post-market,ieee
"Enhancing Agile Development in Tech Companies: Backlog Management, Tool Integration, and Stakeholder Collaboration","Suganya, R. and Banerjee, Dhiimayyi and Mishra, Aarohi and Subbulakshmi, T. and Subramanian, Girish",10.1109/ICRTAC59277.2023.10480864,2023 6th International Conference on Recent Trends in Advance Computing (ICRTAC),2023,Industries;Measurement;Navigation;Collaboration;Companies;Market research;Software;Agile development;backlog management;progress tracking;Agile methodology;stakeholder involvement;technical challenges;data security;metrics;process models;organizational requirements,ieee
A kind of pressure detection method in long distance ore slurry pipeline,An Jian and Wu Jiande and Pu Guangyue and Qu Chengzhong and Huang Chaobing and Pang Chunlei and Liu Hongwei,10.1109/KAM.2010.5646211,2010 Third International Symposium on Knowledge Acquisition and Modeling,2010,Pollution measurement;Slurries;Pipelines;long-distance;ore slurry;pipeline transport;pressure detection,ieee
Design of early warning system for underground pipeline safety based on wireless sensor network,"Zhu, Jin and Li, Xiaolong and Zheng, Wei",10.1109/CAC.2017.8242743,2017 Chinese Automation Congress (CAC),2017,Pipelines;Monitoring;Temperature sensors;Wireless sensor networks;Safety;Acceleration;Voting;Wireless sensor network;Security of underground pipeline;Node localization;Dynamic cluster head election;CC2530,ieee
Ensuring continuity during dynamic security policy reconfiguration in DTE,"Fraser, T. and Badger, L.",10.1109/SECPRI.1998.674820,Proceedings. 1998 IEEE Symposium on Security and Privacy (Cat. No.98CB36186),1998,Kernel;Information security;Runtime;Prototypes;Information systems;Operating systems;Protection;Trademarks;Pipelines;Collaboration,ieee
Assessment model for failure probability of LanChengYu product oil pipeline under landslide geological disaster,"Zhang, Peng and Huang, Yun and Duan, Yonghong",10.1109/ICQR2MSE.2011.5976575,"2011 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering",2011,Pipelines;Terrain factors;Geology;Soil;Hazards;Stability analysis;Surveillance;product oil pipeline;geology disaster;invalid probability assessment,ieee
Distributed Optical Fiber Intrusion Detection by Image Encoding and SwinT in Multi-Interference Environment of Long-Distance Pipeline,"Zhu, Chengyuan and Pu, Yanyun and Yang, Kaixiang and Yang, Qinmin and Chen, C. L. Philip",10.1109/TIM.2023.3277937,,2023,Pipelines;Vibrations;Voltage control;Image coding;Intrusion detection;Transportation;Safety;Distributed optical fiber;image encoding;long-distance pipeline;pattern recognition;visual transformer (ViT),ieee
Ultra-Low-Noise MIMO Distributed Acoustic Sensor Using Few-Mode Optical Fibers,"Lu, Bin and Gu, Jinfeng and Wang, Zhaoyong and Ye, Lei and Liu, Yifan and Yang, Junqi and Wu, Bingyan and Ye, Qing and Qu, Ronghui and Cai, Haiwen",10.1109/JLT.2022.3144191,,2022,Signal to noise ratio;Optical fibers;MIMO communication;Optical fiber sensors;Optical fiber communication;Sensors;Optical fiber cables;Distributed optical fiber acoustic sensing tech- nology (DAS);few-mode fibers;interference fading;MIMO technology;SNR;Φ-OTDR,ieee
A novel long-range perimeter security sensor based on hybrid michelson and Mach-Zehnder interferometers,"Harman, Keith and Singh, Shailesh",10.1109/CCST.2016.7815725,2016 IEEE International Carnahan Conference on Security Technology (ICCST),2016,Optical fiber cables;Optical interferometry;Optical fiber sensors;Optical fiber couplers;Sagnac interferometers;Couplers;Optical fiber polarization;Ranging fiber optic sensor;Michelson with Mach-Zehnder Interferometer;C-OTDR sensor,ieee
Integration of sUAS-enabled sensing for leak identification with oil and gas pipeline maintenance crews,"Lee, Andrew and Dahan, Mathieu and Amin, Saurabh",10.1109/ICUAS.2017.7991525,2017 International Conference on Unmanned Aircraft Systems (ICUAS),2017,Maintenance engineering;Pipelines;Sensors;Oils;Inspection;Routing;Standards,ieee
Distributed Optical Fiber Intrusion Warning Based on Multi-model Fusion,"Zhou, Yuanjie and Zhang, Guomin and Li, Qingyi and Teng, Weiming and Yang, Qinmin",10.1109/ICCSS52145.2020.9336888,"2020 7th International Conference on Information, Cybernetics, and Computational Social Systems (ICCSS)",2020,Vibrations;Optical fibers;Optical fiber sensors;Oils;Pipelines;Optical reflection;Time-domain analysis;Oil and gas pipeline;distributed optical fiber;$\varphi$-OTDR;feature extraction;multi-model fusion,ieee
Distributed Sensing Based on Brillouin Optical Correlation&#x2010;Domain Analysis,"Liu, Tiegen and Jiang, Junfeng and Liu, Kun and Wang, Shuang",10.1002/9783527822454.ch19,"Optical Fiber Sensing Technologies: Principles, Techniques and Applications",2022,Optical fibers;Optical fiber sensors;Probes;Optical pumping;Stimulated emission;Spatial resolution;Optical pulses,ieee
Ranking the social-impact factors for major security emergency of oil and gas pipelines in urban,"Fu-Jun Tian and Chen, James K.C.",10.1109/PICMET.2016.7806766,2016 Portland International Conference on Management of Engineering and Technology (PICMET),2016,Technology management;Technological innovation;Safety management;Oils;Security;Emergency services,ieee
