Link,country,httpcode
"https://thectoclub.com/tools/best-ci-cd-tools/#:~:text=Enhanced Security: Integrating security tools into the,to security strengthens the software's security posture.",brazil,200.0
"https://validato.io/how-do-organizations-track-improvements-in-security-posture-over-time/#:~:text=Organizations track security posture improvements through a,tools%2C and regular assessments against established frameworks.",brazil,200.0
"https://www.agileanalytics.cloud/blog/the-roi-of-devex-proving-the-business-case-for-developer-happiness#:~:text=Teams use deployment frequency to measure how,need to%2C often several times each day.",brazil,200.0
https://www.aikido.dev/features/ci-cd-pipeline-security,brazil,200.0
https://www.appknox.com/blog/cicd-pipeline-security-for-mobile-apps,brazil,200.0
"https://www.appsecengineer.com/blog/the-only-guide-youll-need-to-build-your-own-devsecops-trained-team#:~:text=Defining Roles and Responsibilities Security Champions are,automating security checks throughout the development process.",brazil,200.0
"https://www.appvia.io/blog/building-confidence-automated-testing#:~:text=Test execution time: The time it takes,optimize your test suites for better efficiency.",brazil,200.0
"https://www.balbix.com/blog/balbixs-role-based-dashboards-reduce-risk-at-high-velocity/#:~:text=To measure the average duration that vulnerabilities,age (MOVA)%2C as in the chart below.",brazil,200.0
"https://www.balbix.com/blog/the-top-11-metrics-for-successful-vulnerability-management/#:~:text=Vulnerability Severity Levels: Monitoring the severity classification,prioritized remediation efforts based on potential impact.",brazil,200.0
https://www.browserstack.com/guide/difference-between-continuous-integration-and-continuous-delivery,brazil,200.0
"https://www.browserstack.com/guide/difference-between-continuous-integration-and-continuous-delivery#:~:text=Continuous Delivery (CD) automates the,ensure the code integrates smoothly.",brazil,200.0
https://www.bunnyshell.com/blog/what-is-ci-cd-ct-devops/,brazil,200.0
"https://www.codeant.ai/blogs/security-vulnerability-scanning-tools#:~:text=They ( Tools ) help define metrics,track improvements in security posture over time.",brazil,200.0
https://www.crowdstrike.com/en-us/cybersecurity-101/cloud-security/continuous-integration-continuous-delivery-ci-cd/,brazil,200.0
"https://www.datadoghq.com/blog/key-security-metrics/#:~:text=The mean time to resolve (MTTR) metric,to reassess your team's incident response plan.",brazil,200.0
"https://www.docker.com/blog/how-to-measure-devsecops-success-key-metrics-explained/#:~:text=This metric tracks the volume of security,security gaps are being remediated or mitigated.",brazil,200.0
"https://www.e-spincorp.com/solutions/threat-risk-and-vulnerability-management/#:~:text=Vulnerability Trends: We track and report on,exposure over time%2C highlighting areas for improvement.",brazil,200.0
"https://www.fortinet.com/resources/cyberglossary/ci-cd#:~:text=CI/CD (Continuous Integration/,deployment phases of application development.",brazil,200.0
"https://www.helpnetsecurity.com/2024/07/24/karthik-swarnam-armorcode-cybersecurity-roi/#:~:text=Metrics-based approach: Use specific%2C quantifiable metrics to,response costs%2C and improvements in compliance rates.",brazil,200.0
"https://www.infoq.com/articles/ci-cd-observability/#:~:text=Metrics That Can Be Measured through Your,tests that pass during the build process.",brazil,200.0
"https://www.jetbrains.com/teamcity/ci-cd-guide/devops-ci-cd-metrics/#:~:text=Build duration or build time measures the,get test results or deploy to production.",brazil,200.0
"https://www.jit.io/resources/devsecops/implementing-a-complete-devsecops-toolchain-with-open-source#:~:text=Secrets detection tools scan code repositories for,prevent unauthorized access and potential data breaches.",brazil,200.0
https://www.legitsecurity.com/aspm-knowledge-base/what-is-cicd-security,brazil,200.0
"https://www.linkedin.com/advice/1/what-some-best-practices-setting-up-maintaining#:~:text=Define and regularly track key metrics like,for maximum productivity and faster delivery cycles.",brazil,200.0
"https://www.linkedin.com/pulse/securing-pipeline-key-metrics-evaluating-devops-security-vinyl-s-lnbuc#:~:text=Security Awareness Training Completion Rate: This metric,overall security knowledge base within the team.",brazil,200.0
"https://www.linkedin.com/pulse/securing-pipeline-key-metrics-evaluating-devops-security-vinyl-s-lnbuc#:~:text=While the DevOps threat matrix provides a,Tracking these metrics allows security teams to:",brazil,200.0
"https://www.linkedin.com/pulse/security-metrics-cyber-risk-indicators-constitute-saheed-oyedele-mg7qe#:~:text=It measures the time between when a,vulnerability. It is like the Vulnerability Age.",brazil,200.0
"https://www.linkedin.com/pulse/why-security-often-breaks-cicd-how-fix-ankush-madaan-tk13c#:~:text=1. Hardcoded Secrets A major security pitfall,the pipeline configuration files or source code.",brazil,200.0
"https://www.mindbowser.com/devsecops-metrics/#:~:text=The metric measures the percentage of employees,compliance and engagement with security training initiatives.",brazil,200.0
"https://www.mindbowser.com/devsecops-metrics/#:~:text=The metrics help in proactively identifying security,can be discovered quicker%2C reducing security incidents.",brazil,200.0
"https://www.numberanalytics.com/blog/security-metrics-in-software-development#:~:text=Integrating Security Metrics into Agile and DevOps,and reporting tools to monitor security posture",brazil,200.0
"https://www.numberanalytics.com/blog/security-metrics-in-software-development#:~:text=Vulnerability Metrics Vulnerability density: Measures the number,vulnerabilities using metrics such as CVSS scores",brazil,200.0
https://www.paloaltonetworks.ca/cyberpedia/what-is-ci-cd-security,brazil,200.0
https://www.paloaltonetworks.com/cyberpedia/what-is-ci-cd-security,brazil,200.0
https://www.practical-devsecops.com/devsecops-metrics/#Key_DevSecOps_Metrics,brazil,200.0
https://www.practical-devsecops.com/devsecops-metrics/#Real-World_Case_Studies_DevSecOps_Metrics_in_Action,brazil,200.0
https://www.practical-devsecops.com/devsecops-metrics/?srsltid=AfmBOop5sopnWwo7M578MQILmU0KQ4Du6hfVOdG1EmPINwMBLuf_PTDY,brazil,200.0
https://www.practical-devsecops.com/devsecops-metrics/#The_Role_of_Automation_in_DevSecOps_Metrics,brazil,200.0
"https://www.pynt.io/learning-hub/devsecops/devsecops-principles-tools-and-best-practices-2025-guide#:~:text=This involves conducting security checks and vulnerability,cost and effort associated with late-stage remediation.",brazil,200.0
"https://www.reco.ai/learn/cybersecurity-performance-management#:~:text=By tracking key metrics such as detection,security posture and identify areas for enhancement.",brazil,200.0
https://www.redhat.com/en/topics/devops/what-is-ci-cd,brazil,200.0
"https://www.redhat.com/en/topics/devops/what-is-ci-cd#:~:text=CI/CD%2C which stands for,a shared source code repository.",brazil,200.0
https://www.scribd.com/document/461065223/Continuous-Integration,brazil,200.0
"https://www.sentinelone.com/cybersecurity-101/cloud-security/cloud-security-scanner/#:~:text=For that%2C this feature has significantly reduced,assessments and provided comprehensive insight into remediation.",brazil,200.0
https://www.techtarget.com/searchitoperations/tip/9-ways-to-infuse-security-in-your-CI-CD-pipeline,brazil,200.0
"https://www.truscova.com/blog_article_23.php#:~:text=One popular form of this is ""code,and enhance these measures in several ways:",brazil,200.0
https://xygeni.io/cicd-security/,brazil,200.0
https://blogs.cisco.com/security/pipeline-security-tunnel-vision,brazil,200.0
https://checkmarx.com/glossary/what-is-cicd-security/,brazil,200.0
https://runsafesecurity.com/use-cases/ci-cd-security/,brazil,200.0
https://www.barriernetworks.com/barrier-devsecops,brazil,200.0
https://www.enginelabs.ai/blog/essential-cicd-pipeline-security-checklist-for-github-actions,brazil,200.0
https://www.harness.io/blog/ci-cd-security-an-overview,brazil,200.0
https://www.progress.com/resources/papers/progress-datadirect-hybrid-data-pipeline-security-statement,brazil,200.0
https://www.reversinglabs.com/glossary/build-pipeline-security,brazil,200.0
https://www.upguard.com/blog/tsa-pipeline-security-guidelines,brazil,200.0
https://collabnix.com/how-sast-enhances-devops-pipeline-security/,brazil,200.0
https://cyberwolfe.com/cicd-pipeline-security/,brazil,200.0
https://devtron.ai/blog/integrating-security-scanning-into-ci-cd-pipeline/,brazil,200.0
https://patentscope2.wipo.int/search/ru/detail.jsf;jsessionid=4089A3305282A80FD06AFD6DDE893556?docId=WO2024259645&_gid=202452,brazil,200.0
https://soos.io/devops-pipeline-security,brazil,200.0
https://www.globalsign.com/en/blog/digital-certificates-devops-security-cicd-pipelines,brazil,200.0
https://www.trolleyesecurity.com/services/devsecops/pipeline-security-ci-cd-integration/,brazil,200.0
https://anchore.com/cicd/,brazil,200.0
https://nephosec.com/cicd-pipeline-security/,brazil,200.0
https://openssf.org/blog/2025/08/05/visualizing-secure-mlops-mlsecops-a-practical-guide-for-building-robust-ai-ml-pipeline-security/,brazil,200.0
https://reactree.com/ci-cd-pipeline-security-best-practices-protect-your-devops-from-attacks/,brazil,200.0
https://www.aristiun.com/application-security-posture-management-supply-chain-security-cicd-pipeline-security,brazil,200.0
https://www.cyberdb.co/devops-security-metrics-and-kpis-a-comprehensive-guide/,brazil,200.0
https://www.devopsinstitute.com/wp-content/uploads/2021/08/DSO-21-RaviLachhman-SlideDeck.pdf,brazil,200.0
https://www.ict.inaf.it/gitlab/help/user/application_security/vulnerability_report/pipeline.md,brazil,200.0
https://www.keitaro.com/insights/2022/05/13/5-best-practices-to-ensure-a-ci-cd-pipelines-security/,brazil,200.0
https://apiiro.com/product/sscs/,brazil,200.0
https://arxiv.org/abs/2503.22612,brazil,200.0
https://hetmehta.com/resources/DevSecOps-Checklist/,brazil,200.0
https://microfluidics.utoronto.ca/gitlab/help/user/application_security/vulnerability_report/pipeline.md,brazil,200.0
https://spectralops.io/for-jenkins/,brazil,200.0
https://sprocketfox.io/xssfox/2021/02/18/pipeline/,brazil,200.0
https://squareops.com/knowledge/ci-cd-security-best-practices-for-devsecops-teams/,brazil,200.0
https://testriq.com/blog/tag/pipeline-security,brazil,200.0
https://www.stepsecurity.io/azure-security,brazil,200.0
https://www.swiftorial.com/tutorials/security/vulnerabilities/devsecops/ci_cd_pipeline_security,brazil,200.0
https://carijournals.org/journals/index.php/IJCE/article/view/3047?srsltid=AfmBOoozRDqZM-NAhaVs-NWAKkYllMsbmFe8KLiEFaUL1djjHjQ6p92p,brazil,200.0
https://docs.bmc.com/xwiki/bin/view/Mainframe/DevX/BMC-AMI-DevX-Code-Pipeline/bcispw2201/Installing/Installation-roadmap/Purpose-of-the-roadmap/Code-Pipeline-Security/,brazil,200.0
https://hub.dragos.com/whitepaper-tsa-pipe-line-security-directives,brazil,200.0
https://learn.microsoft.com/en-us/azure/devops/organizations/security/about-security-roles?view=azure-devops,brazil,200.0
https://palantir.com/docs/foundry/building-pipelines/security-overview//,brazil,200.0
https://www.deepfactor.io/glossary/ci-cd-security/,brazil,200.0
https://www.fortinet.com/uk/resources/cyberglossary/ci-cd-pipeline,brazil,200.0
https://www.gologic.ca/en/category/ci-cd-or-integration-and-continuous-deployment/,brazil,200.0
https://www.myshyft.com/blog/security-metrics-for-deployment/,brazil,200.0
https://www.scribd.com/document/742594335/1701799484-Ci-CD-Pipeline-Security-Best-Practices,brazil,200.0
https://aspiainfotech.com/2024/09/11/ci-cd-pipeline-security/,brazil,200.0
https://bluegoatcyber.com/blog/ci-cd-pipelines-enhancing-security-in-devops/,brazil,200.0
https://offensive360.com/jenkins-pipeline-security/,brazil,200.0
https://open.spotify.com/episode/7GDoGehV6XqBMkgFizidye,brazil,200.0
https://www.asperitas.consulting/article-cicd-pineline-security-20241111.html,brazil,200.0
https://www.law.cornell.edu/uscode/text/6/1208,brazil,200.0
https://www.tsa.gov/travel/frequently-asked-questions/pipeline-security-guidelines,brazil,200.0
https://blog.gitguardian.com/pipeline-integrity-and-security-in-devsecops/,brazil,200.0
https://coralogix.com/blog/ci-cd-security/,brazil,200.0
https://docs.jit.io/docs/cicd-pipeline-security,brazil,200.0
https://inventive-it.com/resources/practices-for-adding-ci-cd-pipeline-security/,brazil,200.0
https://mobizinc.com/resources/devsecops-principles-and-concepts-for-automation/,brazil,200.0
https://tantosec.com/blog/build-pipeline-security-assessment/,brazil,200.0
https://waratek.com/blog/cicd-security/,brazil,200.0
https://www.mercadolivre.com.br/water-pipeline-security-device-wireless-remote-electric/p/MLB2009901018,brazil,200.0
https://www.strongdm.com/blog/ci-cd-security-and-ci-cd-pipeline,brazil,200.0
https://www.wiz.io/lp/ci-cd-security-best-practices-cheat-sheet,brazil,200.0
https://amzur.com/blog/ci-cd-pipeline-security-with-dockers/,brazil,200.0
https://blog.jetbrains.com/teamcity/2025/04/ci-cd-security-best-practices/,brazil,200.0
https://circleci.com/,brazil,200.0
https://isosecu.com/blog/cicd-pipeline-security,brazil,200.0
https://linfordco.com/blog/ci-cd-pipeline-security-controls/,brazil,200.0
https://reliasoftware.com/blog/5-best-practices-for-enhancing-ci-cd-pipeline-security,brazil,200.0
https://spectralops.io/blog/ci-cd-security-hardening/,brazil,200.0
https://www.aerowave-tech.com/images/CICD_Pipeline_Security_Best_Practices.pdf,brazil,200.0
https://www.aquasec.com/use-cases/devops-security/,brazil,200.0
https://www.cisco.com/c/en/us/td/docs/solutions/Verticals/Oil_and_Gas/Pipeline/SecurityReference/Security-IRD.html,brazil,200.0
https://www.infosectrain.com/blog/ci-cd-pipeline-security-in-devsecops/,brazil,200.0
https://www.practical-devsecops.com/devsecops-metrics/?srsltid=AfmBOordloDWTlbLUBNvdO_F9Mri5ba6Dlx7_5_N7h1pK_3e42uxbeWv,brazil,200.0
https://zeet.co/blog/ci-cd-security,brazil,200.0
https://accuknox.com/solutions/cicd-security,brazil,200.0
https://ciphersecurity.io/services/devsecops,brazil,200.0
https://www.akeyless.io/blog/aligning-ci-cd-pipeline-security-with-nsa-cisa-guidance/,brazil,200.0
https://www.cloudbees.com/blog/top-devsecops-tools,brazil,200.0
https://www.hayrok.com/post/uncovering-the-secrets-of-devsecops-success-a-deep-dive-into-cloud-native-security-metrics-and-kpis,brazil,200.0
https://www.redhat.com/en/topics/devops/what-cicd-pipeline,brazil,200.0
https://www.stepsecurity.io/blog/stepsecuritys-alignment-with-cisas-ci-cd-security-guidance,brazil,200.0
https://codefresh.io/learn/ci-cd/ci-cd-security-7-risks-and-what-you-can-do-about-them/,brazil,200.0
https://distantjob.com/blog/devsecops-implementation/,brazil,200.0
"https://forumalternance.cergypontoise.fr/11497279/auniteg/ygotos/ppourw/Measures+and+Metrics+in+Corporate+Security,+Second+Edition.pdf",brazil,200.0
https://snyk.io/articles/what-is-ci-cd-pipeline-and-tools-explained/continuous-security/,brazil,200.0
https://spb.hse.ru/en/ba/log/students/diplomas/1046843847,brazil,200.0
https://www.cyberark.com/what-is/ci-cd-pipeline/,brazil,200.0
https://www.e-spincorp.com/tag/pipeline-security/,brazil,200.0
https://www.gologic.ca/en/continuous-integration-security/,brazil,200.0
https://www.growingscrummasters.com/keywords/security-metrics/,brazil,200.0
https://dev.to/rafalw3bcraft/devsecops-pipeline-security-automation-and-continuous-monitoring-4d14,brazil,200.0
https://docs.convisoappsec.com/cli/security-gate,brazil,200.0
https://docs.gitlab.com/ci/pipeline_security/,brazil,200.0
https://sherlockedsecurity.com/ci-cd-pipeline-security-build-test-deploy/,brazil,200.0
https://www.practical-devsecops.com/what-is-devsecops-pipelines/?srsltid=AfmBOoqQqbIh_Csbt3P834wDRN2tw2gwLesSAa7vW6ewEJDN9DA6Vlo3,brazil,200.0
https://www.wiz.io/academy/ci-cd-security-best-practices,brazil,200.0
https://xygeni.io/pt/blog/how-to-protect-the-pipeline-security-of-your-devops/,brazil,200.0
https://blog.infosecmatters.net/2021/10/cicd-pipeline-security-shifting-left.html,brazil,200.0
https://industrialcyber.co/mining-oil-gas/tsa-revises-information-collection-for-pipeline-security-reviews-security-directives-under-omb-assessment/,brazil,200.0
https://solutionshub.epam.com/blog/post/ci_cd_security,brazil,200.0
https://www.globalsign.com/en/blog/devops-pipeline-security-automate-acme,brazil,200.0
https://www.learningtree.com/courses/azure-devops-pipeline-security/,brazil,200.0
https://www.mindbowser.com/devsecops-metrics/,brazil,200.0
https://www.willistonherald.com/news/state/north-dakota-supreme-court-hears-arguments-in-pipeline-security-license-case/article_cf556674-7680-11e9-bad4-8fd02c331ad4.html,brazil,200.0
https://citizant.com/blog/devsecops/5-security-considerations-cicd-pipeline/,brazil,200.0
https://cloudsecurityalliance.org/blog/2022/04/20/security-performance-reporting,brazil,200.0
https://mattermost.com/blog/ci-cd-pipeline-security/,brazil,200.0
https://owasp.org/,brazil,200.0
https://www.e-spincorp.com/pipeline-security-devsecops-pipeline/,brazil,200.0
https://www.f5.com/company/blog/container-security-basics-pipeline-security,brazil,200.0
https://www.ibm.com/software/reports/compatibility/clarity-reports/report/html/softwareReqsForProduct?deliverableId=CF0C527046E011E8ADCBA344DE8FB657,brazil,200.0
https://www.stackhawk.com/blog/ci-pipeline-security-bug-testing/,brazil,200.0
https://aws.amazon.com/marketplace/reviews/reviews-list/prodview-ljsrjvcsk72ki/review/8ed3a731-7488-3980-8c98-616172294b47,brazil,200.0
https://aws.amazon.com/marketplace/reviews/reviews-list/prodview-ljsrjvcsk72ki/review/19df358e-78bd-372a-a945-118e38e34a6a,brazil,200.0
https://immunefi.com/,brazil,200.0
https://vercel.com/pricing,brazil,200.0
https://www.codecademy.com/catalog/subject/cybersecurity,brazil,200.0
https://wwwmatthes.in.tum.de/file/1h520imhelkkn/Sebis-Public-Website/-/Master-s-Thesis-Timo-Zandonella/Kickoff_Presentation_Master_Thesis_Timo_Zandonella.pdf,brazil,200.0
https://careers.cathaypacific.com/en/careers/jobs/hong-kong/solution-lead-regions-rpa-idp-27432,brazil,200.0
https://galileo.ai/,brazil,200.0
https://tryhackme.com/paths,brazil,200.0
https://www.cloudflare.com/plans/developer-platform/,brazil,200.0
https://www.helpnetsecurity.com/2025/08/12/cybersecurity-jobs-available-right-now-august-12-2025/,brazil,200.0
https://careers.wbd.com/global/en/job/R000096437/Senior-Software-Engineer-in-Test,brazil,200.0
https://en.wikipedia.org/wiki/Asari_Dokubo,brazil,200.0
https://lunainc.com/,brazil,200.0
https://thenewstack.io/experts-split-on-ai-reviewing-its-own-code-for-security/,brazil,200.0
https://www.crowdstrike.com/en-us/cybersecurity-101/cloud-security/cloud-security-best-practices/,brazil,200.0
https://www.dataquest.io/blog/advanced-concepts-in-docker-compose/,brazil,200.0
https://www.dice.com/job-detail/e15c566f-6e23-47b7-af6f-d860f169582a,brazil,200.0
https://www.wg-plc.com/,brazil,200.0
https://careers.cathaypacific.com/en/careers/jobs/china/solution-lead-27770,brazil,200.0
https://developer.android.com/studio/intro,brazil,200.0
https://github.com/spring-projects/spring-boot,brazil,200.0
https://jobs.thediplomat.com/job/161479/lead-member-of-technical-staff/,brazil,200.0
https://justjoin.it/job-offer/madiff-sp-z-o-o---net-developer-warszawa-net-e31f8a3b,brazil,200.0
https://levelup.gitconnected.com/writing-code-for-team-projects-conventions-prs-and-reviews-that-work-48cda080bac9?source=rss----5517fd7b58a6---4,brazil,200.0
https://www.freecodecamp.org/news/the-clean-code-handbook/,brazil,200.0
https://www.palantir.net/blog/reactive-repairs-continuous-improvement-modern-operations-and-maintenance-enterprise-drupal,brazil,200.0
https://discoveryalert.com.au/news/global-oil-trade-dynamics-2025-us-nigeria/,brazil,200.0
https://itwire.com/itwire-magazine/tag/Application+delivery.html,brazil,200.0
https://moemaka.net/eng/2025/08/myanmar-military-news-updates-aug-12-2025-evening/,brazil,200.0
https://www.ainvest.com/news/reinstating-sanctions-iran-geopolitical-risks-opportunities-energy-defense-markets-2508/,brazil,200.0
https://www.coursera.org/professional-certificates/data-engineering,brazil,200.0
https://businessamlive.com/nigerias-daily-oil-production-plunges-to-1-57m-barrels/,brazil,200.0
https://championnews.com.ng/2025/08/11/2027-adc-accuses-efcc-of-going-after-opposition-party-members-rather-than-fight-corruption/,brazil,200.0
https://content.techgig.com/career-advice/ai-vs-human-developers-the-future-of-coding-and-job-security/articleshow/123279398.cms,brazil,200.0
https://noise.getoto.net/author/danilo-poccia/,brazil,200.0
https://thevaultznews.com/2025/08/12/nigerias-top-indigenous-oil-producers/,brazil,200.0
https://www.geeksforgeeks.org/software-testing/what-is-an-api/,brazil,200.0
https://www.parallels.com/products/desktop/?srsltid=AfmBOopCDnNayPKfJa78I6TrUjjv0AW2AhxeLGyUhSA4KcsXSMeQLUjz,brazil,200.0
https://itwire.com/business-it-news/business-software/changing-of-the-guard-at-github-signals-a-new-microsoft-ai-focus-for-the-world-s-home-of-open-source-software.html,brazil,200.0
https://nationaldailyng.com/reforms-rift-rising-tensions-define-ojularis-first-100-days-at-nnpcl/,brazil,200.0
https://www.tiktok.com/discover/why-did-the-swedish-rhapsody-stop-operating,brazil,200.0
https://apiiro.com/blog/ci-cd-pipeline-security-best-practices-for-your-software/,brazil,200.0
https://cycode.com/pipeline-security/,brazil,200.0
https://medium.com/@taufiqpsumarna/devsecops-securing-gitlab-ci-cd-pipeline-7f4d38d70dd3,brazil,200.0
https://sysdig.com/learn-cloud-native/what-is-ci-cd-security/,brazil,200.0
https://www.aquasec.com/cloud-native-academy/supply-chain-security/ci-cd-security-threats-tools-and-best-practices/,brazil,200.0
https://www.checkpoint.com/cyber-hub/cloud-security/devsecops/what-is-a-devsecops-pipeline/,brazil,200.0
https://www.sentinelone.com/cybersecurity-101/cloud-security/ci-cd-security-tools/,brazil,200.0
https://www.tsa.gov/sites/default/files/pipeline_security_guidelines.pdf,brazil,200.0
https://devops.com/devops-security-metrics/,brazil,200.0
https://devops.isc.heia-fr.ch/lecture/devsecops/devsecops6/,brazil,200.0
https://docs.gitlab.com/user/application_security/vulnerability_report/pipeline/,brazil,200.0
https://learn.microsoft.com/en-us/azure/devops/pipelines/policies/permissions?view=azure-devops,brazil,200.0
https://spacelift.io/blog/ci-cd-security,brazil,200.0
https://thectoclub.com/news/ci-cd-pipeline-security-best-practices/,brazil,200.0
https://www.armosec.io/securing-ci-cd-pipelines/,brazil,200.0
https://www.beyondidentity.com/resource/3-ci-cd-pipeline-security-best-practices,brazil,200.0
https://www.fortinet.com/blog/business-and-technology/ensuring-continuous-security-integration-for-devsecops,brazil,200.0
https://contextqa.com/ci-cd-pipeline-security-guide/,brazil,200.0
https://faun.pub/cloud-ci-cd-pipeline-security-checklist-8500953d4c5d,brazil,200.0
https://hackernoon.com/devsecops-deep-dive-cicd-pipeline-security,brazil,200.0
https://www.iogp.org/bookstore/product/pipeline-security-guidelines/,brazil,200.0
https://www.jit.io/aspm-platform/cicd-security,brazil,200.0
https://www.opsera.io/learn/devsecops-best-practices-for-ci-cd-pipeline-security,brazil,200.0
https://e.huawei.com/en/material/enterprise/a0512272c84b4076a66e062ad9b87c73,brazil,200.0
https://industrialcyber.co/regulation-standards-and-compliance/strengthening-pipeline-security-a-guide-for-ot-professionals-on-tsa-pipeline-security-directives-and-the-2024-notice-of-proposed-rules/,brazil,200.0
https://ingaa.org/wp-content/uploads/2019/02/34310.pdf,brazil,200.0
https://openssf.org/wp-content/uploads/2025/08/OpenSSF_MLSecOps_Whitepaper.pdf,brazil,200.0
https://www.cbo.gov/publication/61006,brazil,200.0
https://www.cybersecurityintelligence.com/pipeline-security-5315.html,brazil,200.0
https://www.dragos.com/blog/industry-news/us-transportation-security-administration-releases-updated-pipeline-security-directive-key-revisions-and-compliance-strategies/,brazil,200.0
https://www.ppln.co/en,brazil,200.0
https://www.veitur.is/en/are-you-building/pipeline-security,brazil,200.0
https://help.accuknox.com/use-cases/cicd-sec/,brazil,200.0
https://www.darktrace.com/resources/pipeline-security-directive,brazil,200.0
https://www.dlh.lu/shop/module-5-part-2-devops-and-pipeline-security-1744,brazil,200.0
https://www.fortunebusinessinsights.com/pipeline-security-market-105742,brazil,200.0
https://www.linkedin.com/pulse/getting-started-cicd-pipeline-security-hossein-khoshbayan,brazil,200.0
https://xage.com/complying-with-tsa-pipeline-security-directives/,brazil,200.0
https://carleton.ca/npsia-ptd/catalogue/program-in-international-energy-and-natural-resource-infrastructure-protection/masters-certificate-pipeline-security/,brazil,200.0
https://cloudsecurityalliance.org/artifacts/the-six-pillars-of-devsecops-measure-monitor-report-and-action,brazil,200.0
https://computerfraudsecurity.com/index.php/journal/article/view/726/490,brazil,200.0
https://nsss.se/y2025/talks/ci-cd-damn-vuln-project/,brazil,200.0
https://www.arnica.io/blog/ci-cd-pipeline-security-vs-ide-plugins-vs-pipelineless-security,brazil,200.0
https://www.endorlabs.com/product/endor-labs-ci-cd,brazil,200.0
https://www.hsdl.org/c/view?docid=750295,brazil,200.0
https://www.redhat.com/en/resources/ci-cd-pipeline-security-dzone-analyst-material,brazil,200.0
https://www.txone.com/blog/tsa-pipeline-security-directive-upgraded/,brazil,200.0
