doi,keywords,pages,number,volume,year,title,booktitle,author,ENTRYTYPE,ID,journal
,Encryption;Field programmable gate arrays;Hardware;Algorithm design and analysis;Pipeline processing;Computer architecture;Cryptography;AES;DES;FPGA;efficient encryption/decryption implementation;pipeline;security;communications,1-6,,,2011,A fast cryptography pipelined hardware developed in FPGA with VHDL,2011 3rd International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),"Gomes, Otávio S. M. and Moreno, Robson L. and Pimenta, Tales C.",inproceedings,6078888,
10.1109/ICHVE53725.2022.10014446,Electrodes;Electric potential;Grounding;HVDC transmission;Hydrogen;Pipelines;Interference;HVDC;interference;ground electrode;pipeline;security boundary,1-4,,,2022,Fracture Control and Security Boundary Determination for Pipelines under HVDC Grounding Electrode Discharge Interference,2022 IEEE International Conference on High Voltage Engineering and Applications (ICHVE),"Liu, Qingsong and Hu, Shangmao and Chen, Wei and Liu, Gang and Deng, Jun and Cai, Hansheng",inproceedings,10014446,
,Encryption;Field programmable gate arrays;Hardware;Algorithm design and analysis;Pipeline processing;Computer architecture;Cryptography;AES;DES;FPGA;efficient encryption/decryption implementation;pipeline;security;communications,1-6,,,2011,An efficient and customized pipelined cryptography hardware,2011 3rd International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT),"Gomes, Otávio S. M. and Moreno, Robson L. and Pimenta, Tales C.",inproceedings,6078886,
,,,,,2021,,"Modern DevOps Practices: Implement and secure DevOps in the public cloud with cutting-edge tools, tips, tricks, and techniques","Agarwal, Gaurav",book,10162980,
10.1109/RBME.2020.3013489,Robustness;Adversarial machine learning;Medical services;Machine learning;Privacy;Adversarial ML;healthcare;privacy preserving ML;robust ML;secure ML,156-180,,14,2021,Secure and Robust Machine Learning for Healthcare: A Survey,,"Qayyum, Adnan and Qadir, Junaid and Bilal, Muhammad and Al-Fuqaha, Ala",article,9153891,IEEE Reviews in Biomedical Engineering
10.1109/MNET.001.1900197,Security;Task analysis;Telemetry;Data models;Perturbation methods;Training,196-203,1,34,2020,The Adversarial Machine Learning Conundrum: Can the Insecurity of ML Become the Achilles' Heel of Cognitive Networks?,,"Usama, Muhammad and Qadir, Junaid and Al-Fuqaha, Ala and Hamdi, Mounir",article,8884228,IEEE Network
10.1109/IECON.2016.7793111,Analytic hierarchy process;Security;Decision support systems;SCADA systems;Indexes;Risk management,4871-4876,,,2016,A Multiple-Criteria Decision Making method as support for critical infrastructure protection and Intrusion Detection System,IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society,"Bernieri, Giuseppe and Damiani, Stefano and Del Moro, Fabio and Faramondi, Luca and Pascucci, Federica and Tambone, Francesco",inproceedings,7793111,
10.1109/TSE.2023.3235684,Security;Behavioral sciences;Software;Organizations;Psychology;Guidelines;Context modeling;Behavior change;developer-centric security;software security;software security practices,2892-2919,4,49,2023,DASP: A Framework for Driving the Adoption of Software Security Practices,,"Larios-Vargas, Enrique and Elazhary, Omar and Yousefi, Soroush and Lowlind, Derek and Vliek, Michael L. W. and Storey, Margaret-Anne",article,10014531,IEEE Transactions on Software Engineering
10.1109/SPW50608.2020.00064,Computer languages;Ground penetrating radar;Geophysical measurement techniques;Transforms;Grammar;Security;Standards,300-307,,,2020,Research Report: The Parsley Data Format Definition Language,2020 IEEE Security and Privacy Workshops (SPW),"Mundkur, Prashanth and Briesemeister, Linda and Shankar, Natarajan and Anantharaman, Prashant and Ali, Sameed and Lucas, Zephyr and Smith, Sean",inproceedings,9283840,
10.1109/MSEC.2023.3271273,Passwords;Authentication;Protocols;Process control;Integrated circuits;Encryption;Security;Programmable logic devices;Real-time systems;Design methodology;Critical infrastructure;Industrial control,10-19,4,21,2023,How Are Industrial Control Systems Insecure by Design? A Deeper Insight Into Real-World Programmable Logic Controllers,,"Ayub, Adeen and Jo, Wooyeon and Qasim, Syed Ali and Ahmed, Irfan",article,10132333,IEEE Security & Privacy
10.1109/TNET.2022.3222610,Switches;Internet;Probabilistic logic;Electronic mail;Synchronization;IEEE transactions;Resists;Path-aware networking;data plane;source and path verification,1478-1493,4,31,2023,MASK: Practical Source and Path Verification Based on Multi-AS-Key,,"Fu, Songtao and Li, Qi and Zhu, Min and Wang, Xiaoliang and Yao, Su and Guo, Yangfei and Du, Xinle and Xu, Ke",article,9963703,IEEE/ACM Transactions on Networking
10.1109/eCrime66200.2024.00009,Adaptation models;Attention mechanisms;Source coding;Large language models;Transformers;Feature extraction;Malware;Data models;Security;Computer crime;Malware;Provenance graph;Transformer,27-42,,,2024,EAGLEEYE: Attention to Unveil Malicious Event Sequences From Provenance Graphs,2024 APWG Symposium on Electronic Crime Research (eCrime),"Gysel, Philipp and Wüest, Candid and Nwafor, Kenneth and Jašek, Otakar and Ustyuzhanin, Andrey and Divakaran, Dinil Mon",inproceedings,10896250,
10.1109/JIOT.2019.2946853,Pipelines;Internet of Things;Hardware;Robot sensing systems;Cloud computing;Servers;Computer architecture;Distributed information systems;edge computing;Internet of Things (IoT);open source software;sensor systems,189-196,1,7,2020,Wattsworth: An Open-Source Platform for Decentralized Sensor Networks,,"Donnal, John S.",article,8865104,IEEE Internet of Things Journal
10.1109/PST.2016.7906996,Protocols;Sensors;Context modeling;Access control;SCADA systems;Belts,615-622,,,2016,Towards a new generation of industrial firewalls: Operational-process aware filtering,"2016 14th Annual Conference on Privacy, Security and Trust (PST)","Hachana, Safaà and Cuppens, Frédéric and Cuppens-Boulahia, Nora",inproceedings,7906996,
10.1109/HOST55342.2024.10545379,Processor scheduling;Computer architecture;Standardization;Hardware;Polynomials;Real-time systems;Complexity theory;CRYSTALS-Dilithium;Post-Quantum Cryptography;Digital Signature;High-Speed;Sparse Polynomial Multiplication;FPGA,150-159,,,2024,Sparse Polynomial Multiplication-Based High-Performance Hardware Implementation for CRYSTALS-Dilithium,2024 IEEE International Symposium on Hardware Oriented Security and Trust (HOST),"Zhao, Hang and Zhao, Cankun and Zhu, Wenping and Yang, Bohan and Wei, Shaojun and Liu, Leibo",inproceedings,10545379,
10.1109/ICoDSE63307.2024.10829891,Productivity;Measurement;Industries;Computer aided software engineering;Computer architecture;Organizations;Software;Security;Risk management;Software development management;Enterprise Architecture;Software Security;Software Development;Adaptive Risk Management;Security Culture;Software Engineering;Business Applications,7-12,,,2024,A Secure Software Development Methodology for Enterprise Business Applications,2024 IEEE International Conference on Data and Software Engineering (ICoDSE),"Joshi, Hrishikesh",inproceedings,10829891,
10.1109/QRS-C60940.2023.00054,Analytical models;Standards organizations;SCADA systems;Computer architecture;Regulation;System software;Security;Engineering secure systems;Software architecture;Compliance;Formal methods;Metamodel;Reuse,186-195,,,2023,A Security Compliance-by-Design Framework Utilizing Reusable Formal Models,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","Rouland, Quentin and Gjorcheski, Stojanche and Jaskolka, Jason",inproceedings,10430041,
10.1109/CEEGE58447.2023.10246709,Renewable energy sources;Uncertainty;Green products;Optimal control;Market research;Safety;Planning;Regional integrated energy system;Renewable energy sources;Interval security region;Comprehensive evaluation index,281-286,,,2023,Analysis of the Comprehensive Evaluation Index of the Operation Point in the Interval Security Region Considering the Uncertainty of Renewable Energy,2023 6th International Conference on Electrical Engineering and Green Energy (CEEGE),"Liu, Hao and Wang, Dan and Zhang, Ziyang and Xu, Xiangming and Wang, Manshang and Cao, Yitao and Zhou, Tianshuo and Fan, MengHua",inproceedings,10246709,
10.1109/TSIPN.2025.3594164,Estimation;Security;Noise;Information processing;State estimation;Stochastic processes;Estimation error;Power system stability;Energy consumption;Costs;Secure fusion estimation;multi-sensor systems;energy constraints;hybrid attacks,994-1004,,11,2025,Distributed $H_\infty$ Secure Fusion Estimation for Energy-Constrained Multi-Sensor Systems Under Hybrid Attacks,,"Song, Haiyu and Chen, Linyi and Chen, Bo and Zhang, Wen-An and Yu, Li",article,11109059,IEEE Transactions on Signal and Information Processing over Networks
10.1109/TVT.2021.3124492,Pipelines;Autonomous underwater vehicles;Privacy;Security;Wireless sensor networks;Source location protection;submarine pipeline security;underwater acoustic sensor networks;anonymous cluster;disguised AUV,13377-13389,12,70,2021,Anonymous Cluster-Based Source Location Protection in Underwater Pipeline Monitoring Operations,,"Han, Guangjie and Gong, Aini and Wang, Hao and Lin, Chuan and García, Miguel Martínez and Peng, Yan",article,9599492,IEEE Transactions on Vehicular Technology
10.1109/ICSA-C50368.2020.00043,Software;Organizations;Biomedical imaging;Computer security;Performance evaluation;Standards organizations;cybersecurity;security development lifecycle;vulnerability;vulnerability handling;product-specific risk management;continuous security patch delivery;medical device;post-market,204-209,,,2020,Continuous security patch delivery and risk management for medical devices,2020 IEEE International Conference on Software Architecture Companion (ICSA-C),"Stockhausen, Hans-Martin von and Rose, Marc",inproceedings,9095670,
10.1109/ICRTAC59277.2023.10480864,Industries;Measurement;Navigation;Collaboration;Companies;Market research;Software;Agile development;backlog management;progress tracking;Agile methodology;stakeholder involvement;technical challenges;data security;metrics;process models;organizational requirements,718-724,,,2023,"Enhancing Agile Development in Tech Companies: Backlog Management, Tool Integration, and Stakeholder Collaboration",2023 6th International Conference on Recent Trends in Advance Computing (ICRTAC),"Suganya, R. and Banerjee, Dhiimayyi and Mishra, Aarohi and Subbulakshmi, T. and Subramanian, Girish",inproceedings,10480864,
10.1109/KAM.2010.5646211,Pollution measurement;Slurries;Pipelines;long-distance;ore slurry;pipeline transport;pressure detection,196-198,,,2010,A kind of pressure detection method in long distance ore slurry pipeline,2010 Third International Symposium on Knowledge Acquisition and Modeling,An Jian and Wu Jiande and Pu Guangyue and Qu Chengzhong and Huang Chaobing and Pang Chunlei and Liu Hongwei,inproceedings,5646211,
10.1109/CAC.2017.8242743,Pipelines;Monitoring;Temperature sensors;Wireless sensor networks;Safety;Acceleration;Voting;Wireless sensor network;Security of underground pipeline;Node localization;Dynamic cluster head election;CC2530,95-98,,,2017,Design of early warning system for underground pipeline safety based on wireless sensor network,2017 Chinese Automation Congress (CAC),"Zhu, Jin and Li, Xiaolong and Zheng, Wei",inproceedings,8242743,
10.1109/SECPRI.1998.674820,Kernel;Information security;Runtime;Prototypes;Information systems;Operating systems;Protection;Trademarks;Pipelines;Collaboration,15-26,,,1998,Ensuring continuity during dynamic security policy reconfiguration in DTE,Proceedings. 1998 IEEE Symposium on Security and Privacy (Cat. No.98CB36186),"Fraser, T. and Badger, L.",inproceedings,674820,
10.1109/ICQR2MSE.2011.5976575,Pipelines;Terrain factors;Geology;Soil;Hazards;Stability analysis;Surveillance;product oil pipeline;geology disaster;invalid probability assessment,87-91,,,2011,Assessment model for failure probability of LanChengYu product oil pipeline under landslide geological disaster,"2011 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering","Zhang, Peng and Huang, Yun and Duan, Yonghong",inproceedings,5976575,
10.1109/TIM.2023.3277937,Pipelines;Vibrations;Voltage control;Image coding;Intrusion detection;Transportation;Safety;Distributed optical fiber;image encoding;long-distance pipeline;pattern recognition;visual transformer (ViT),1-12,,72,2023,Distributed Optical Fiber Intrusion Detection by Image Encoding and SwinT in Multi-Interference Environment of Long-Distance Pipeline,,"Zhu, Chengyuan and Pu, Yanyun and Yang, Kaixiang and Yang, Qinmin and Chen, C. L. Philip",article,10130789,IEEE Transactions on Instrumentation and Measurement
10.1109/JLT.2022.3144191,Signal to noise ratio;Optical fibers;MIMO communication;Optical fiber sensors;Optical fiber communication;Sensors;Optical fiber cables;Distributed optical fiber acoustic sensing tech- nology (DAS);few-mode fibers;interference fading;MIMO technology;SNR;Φ-OTDR,3062-3071,9,40,2022,Ultra-Low-Noise MIMO Distributed Acoustic Sensor Using Few-Mode Optical Fibers,,"Lu, Bin and Gu, Jinfeng and Wang, Zhaoyong and Ye, Lei and Liu, Yifan and Yang, Junqi and Wu, Bingyan and Ye, Qing and Qu, Ronghui and Cai, Haiwen",article,9684925,Journal of Lightwave Technology
10.1109/CCST.2016.7815725,Optical fiber cables;Optical interferometry;Optical fiber sensors;Optical fiber couplers;Sagnac interferometers;Couplers;Optical fiber polarization;Ranging fiber optic sensor;Michelson with Mach-Zehnder Interferometer;C-OTDR sensor,1-8,,,2016,A novel long-range perimeter security sensor based on hybrid michelson and Mach-Zehnder interferometers,2016 IEEE International Carnahan Conference on Security Technology (ICCST),"Harman, Keith and Singh, Shailesh",inproceedings,7815725,
10.1109/ICUAS.2017.7991525,Maintenance engineering;Pipelines;Sensors;Oils;Inspection;Routing;Standards,1143-1152,,,2017,Integration of sUAS-enabled sensing for leak identification with oil and gas pipeline maintenance crews,2017 International Conference on Unmanned Aircraft Systems (ICUAS),"Lee, Andrew and Dahan, Mathieu and Amin, Saurabh",inproceedings,7991525,
10.1109/ICCSS52145.2020.9336888,Vibrations;Optical fibers;Optical fiber sensors;Oils;Pipelines;Optical reflection;Time-domain analysis;Oil and gas pipeline;distributed optical fiber;$\varphi$-OTDR;feature extraction;multi-model fusion,843-848,,,2020,Distributed Optical Fiber Intrusion Warning Based on Multi-model Fusion,"2020 7th International Conference on Information, Cybernetics, and Computational Social Systems (ICCSS)","Zhou, Yuanjie and Zhang, Guomin and Li, Qingyi and Teng, Weiming and Yang, Qinmin",inproceedings,9336888,
10.1002/9783527822454.ch19,Optical fibers;Optical fiber sensors;Probes;Optical pumping;Stimulated emission;Spatial resolution;Optical pulses,771-814,,,2022,Distributed Sensing Based on Brillouin Optical Correlation&#x2010;Domain Analysis,"Optical Fiber Sensing Technologies: Principles, Techniques and Applications","Liu, Tiegen and Jiang, Junfeng and Liu, Kun and Wang, Shuang",inbook,10514781,
10.1109/PICMET.2016.7806766,Technology management;Technological innovation;Safety management;Oils;Security;Emergency services,2067-2076,,,2016,Ranking the social-impact factors for major security emergency of oil and gas pipelines in urban,2016 Portland International Conference on Management of Engineering and Technology (PICMET),"Fu-Jun Tian and Chen, James K.C.",inproceedings,7806766,
